,Signal,Method,Features,Components,AUC_Score,F1_Score,Average_Precision,Balanced_Accuracy
SVM_TUGs_250_64,TUGs,SVM,250,64,0.5076923076923077,0.5,0.3582051282051282,0.6153846153846154
SVM_TUGs_250_32,TUGs,SVM,250,32,0.6,0.5555555555555556,0.352031302031302,0.6923076923076923
SVM_TUGs_250_16,TUGs,SVM,250,16,0.5538461538461539,0.5454545454545454,0.39596638655462185,0.6846153846153846
GradBoosting_TUGs_250_64,TUGs,GradientBoosting,250,64,0.8923076923076922,0.888888888888889,0.8833333333333333,0.9
GradBoosting_TUGs_250_32,TUGs,GradientBoosting,250,32,0.6153846153846154,0.5263157894736842,0.49868131868131865,0.6538461538461539
GradBoosting_TUGs_250_16,TUGs,GradientBoosting,250,16,0.6307692307692307,0.5454545454545454,0.41939393939393943,0.6846153846153846
AdaBoosting_TUGs_250_64,TUGs,AdaBoosting,250,64,0.7846153846153846,0.6666666666666665,0.7158119658119657,0.7615384615384615
AdaBoosting_TUGs_250_32,TUGs,AdaBoosting,250,32,0.6923076923076923,0.6666666666666665,0.6163003663003663,0.7615384615384615
AdaBoosting_TUGs_250_16,TUGs,AdaBoosting,250,16,0.676923076923077,0.625,0.3955122655122655,0.7692307692307692
RandomForest_TUGs_500,TUGs,RandomForest,500,None,0.5384615384615384,0.5555555555555556,0.3176556776556777,0.6923076923076923
SVM_TUGs_500_64,TUGs,SVM,500,64,0.676923076923077,0.5882352941176471,0.53,0.7307692307692308
SVM_TUGs_500_32,TUGs,SVM,500,32,0.8615384615384616,0.8333333333333333,0.5961904761904762,0.9230769230769231
SVM_TUGs_500_16,TUGs,SVM,500,16,0.5846153846153846,0.5,0.3939194139194139,0.6461538461538461
GradBoosting_TUGs_500_64,TUGs,GradientBoosting,500,64,0.5076923076923077,0.5000000000000001,0.44155080213903747,0.6307692307692307
GradBoosting_TUGs_500_32,TUGs,GradientBoosting,500,32,0.6307692307692307,0.5714285714285714,0.4037698412698413,0.7076923076923077
GradBoosting_TUGs_500_16,TUGs,GradientBoosting,500,16,0.6000000000000001,0.5,0.43522727272727274,0.6615384615384616
AdaBoosting_TUGs_500_64,TUGs,AdaBoosting,500,64,0.5230769230769231,0.5333333333333333,0.3258333333333333,0.6692307692307693
AdaBoosting_TUGs_500_32,TUGs,AdaBoosting,500,32,0.5538461538461539,0.5,0.3376082251082251,0.6461538461538461
AdaBoosting_TUGs_500_16,TUGs,AdaBoosting,500,16,0.6153846153846154,0.5714285714285714,0.3911111111111111,0.7076923076923077
